n r res t
13 1 0 3269
14 1 0 3547
15 1 1 3904
16 1 0 4036
17 1 0 4173
18 1 0 4371
19 1 1 4674
20 1 0 4834
21 1 1 5964
22 1 1 6339
23 1 0 5593
24 1 0 5708
25 1 0 5832
26 1 0 6168
27 1 1 7043
28 1 1 7041
29 1 0 6658
30 1 1 7853
1 10 1 762
2 10 0 774
3 10 0 1021
4 10 1 1774
5 10 1 1567
6 10 1 2345
7 10 0 2084
8 10 2 2459
9 10 3 3548
10 10 2 3403
11 10 2 4584
12 10 2 4689
13 10 1 4744
14 10 1 5114
15 10 2 6556
16 10 1 5511
17 10 2 6771
18 10 2 7775
19 10 4 9937
20 10 3 10409
21 10 3 10268
22 10 2 9907
23 10 2 8614
24 10 5 13750
25 10 3 11007
26 10 2 10811
27 10 3 12571
28 10 3 12951
29 10 6 17918
30 10 3 12024
1 20 1 852
2 20 1 901
3 20 1 1141
4 20 2 1742
5 20 1 1559
6 20 2 2107
7 20 1 2643
8 20 2 3021
9 20 2 3673
10 20 3 5768
11 20 2 4327
12 20 3 7289
13 20 4 9133
14 20 3 6382
15 20 3 9835
16 20 4 10694
17 20 5 16512
18 20 5 14497
19 20 4 12852
20 20 3 10694
21 20 5 17977
22 20 5 13124
23 20 4 16393
24 20 4 21216
25 20 6 20605
26 20 5 21382
27 20 3 17518
28 20 5 22101
29 20 6 32247
30 20 5 27301
1 50 1 666
2 50 2 973
3 50 3 1379
4 50 3 1955
5 50 4 2824
6 50 3 3658
7 50 5 5359
8 50 4 5172
9 50 3 6930
10 50 5 6191
11 50 4 9392
12 50 5 13336
13 50 4 12713
14 50 5 15176
15 50 4 15441
16 50 6 17592
17 50 6 29879
18 50 5 23170
19 50 4 21468
20 50 6 35209
21 50 5 21717
22 50 7 17815
23 50 6 20634
24 50 7 29333
25 50 7 24970
26 50 8 32792
27 50 5 25146
28 50 6 27037
29 50 8 38825
30 50 6 119774
1 75 1 1435
2 75 2 1024
3 75 1 1269
4 75 3 2140
5 75 3 2531
6 75 5 3123
7 75 5 4083
8 75 4 4110
9 75 5 7341
10 75 7 7370
11 75 5 8889
12 75 5 10910
13 75 6 11920
14 75 4 7582
15 75 6 15487
16 75 5 14272
17 75 6 16935
18 75 7 20626
19 75 6 19054
20 75 8 25653
21 75 7 22644
22 75 9 29013
23 75 7 28874
24 75 7 31811
25 75 6 26142
26 75 6 24105
27 75 8 30750
28 75 7 38601
29 75 7 39138
30 75 8 39025
1 100 1 854
2 100 2 1203
3 100 1 1530
4 100 2 1844
5 100 2 2027
6 100 4 2740
7 100 5 3478
8 100 3 4340
9 100 4 3968
10 100 4 5200
11 100 5 8151
12 100 4 7079
13 100 4 8989
14 100 6 10586
15 100 6 12347
16 100 5 12307
17 100 6 17100
18 100 6 19910
19 100 5 18945
20 100 8 23415
21 100 8 26483
22 100 7 25709
23 100 5 27339
24 100 7 23805
25 100 6 22500
