n r res t
17 100 6 70933
18 100 5 45868
19 100 7 95802
20 100 7 101203
21 100 7 133271
22 100 5 71538
23 100 8 341345
24 100 6 74270
25 100 10 987082
26 100 8 414710
27 100 6 223431
28 100 6 170664
29 100 9 1130791
30 100 5 93676
1 1000 1 54
2 1000 2 118
3 1000 2 198
4 1000 3 436
5 1000 4 946
6 1000 3 1104
7 1000 3 1570
8 1000 4 2816
9 1000 4 2870
10 1000 5 5600
11 1000 3 3482
12 1000 5 10851
13 1000 6 24694
14 1000 5 9226
15 1000 6 32672
16 1000 5 24125
17 1000 6 31002
18 1000 6 86690
19 1000 5 41121
20 1000 6 58857
21 1000 5 65350
22 1000 7 86031
23 1000 7 203266
24 1000 6 102279
25 1000 7 246990
26 1000 8 617294
27 1000 5 125763
28 1000 8 345791
29 1000 7 545636
30 1000 6 369596
1 10 0 72
2 10 1 121
3 10 1 116
4 10 1 210
5 10 1 222
6 10 2 474
7 10 2 348
8 10 2 458
9 10 1 444
10 10 3 1345
11 10 2 548
12 10 2 820
13 10 2 802
14 10 1 572
15 10 3 1632
16 10 2 1587
17 10 2 2234
18 10 1 867
19 10 3 1786
20 10 2 2169
21 10 4 5016
22 10 4 3870
23 10 2 2257
24 10 3 6299
25 10 3 5128
26 10 2 4290
27 10 3 6083
28 10 4 11039
29 10 2 2462
30 10 4 9109
1 20 1 68
2 20 0 127
3 20 1 302
4 20 2 297
5 20 2 659
6 20 2 844
7 20 1 536
8 20 3 1807
9 20 3 2113
10 20 3 2701
11 20 4 3908
12 20 4 5789
13 20 2 2746
14 20 2 3576
15 20 4 5291
16 20 2 2866
17 20 4 5899
18 20 3 7425
19 20 5 13609
20 20 5 24283
21 20 5 27755
22 20 4 12826
23 20 3 8357
24 20 7 80247
25 20 5 19358
26 20 3 17979
27 20 4 15964
28 20 4 30887
29 20 7 86891
30 20 4 15250
1 50 1 77
2 50 2 137
3 50 2 408
4 50 3 791
5 50 2 497
6 50 3 676
7 50 3 1827
8 50 3 2149
9 50 3 2241
10 50 4 3633
11 50 4 3651
12 50 5 13927
13 50 5 16059
14 50 5 14085
15 50 5 23886
16 50 6 82476
17 50 6 51829
18 50 6 61959
19 50 6 76439
20 50 5 36042
21 50 6 95918
22 50 6 57282
23 50 6 71158
24 50 6 196307
25 50 7 58346
26 50 7 253271
27 50 6 543307
28 50 7 450146
29 50 7 337486
30 50 7 295549
1 75 1 74
2 75 2 149
3 75 3 272
4 75 3 445
5 75 4 839
6 75 3 1249
7 75 5 2241
8 75 4 3105
9 75 3 3274
10 75 5 5562
11 75 4 5988
12 75 6 9285
13 75 4 9606
14 75 6 18725
15 75 5 22064
16 75 7 32237
17 75 6 87796
18 75 6 57776
19 75 5 42681
20 75 7 227728
21 75 5 65050
22 75 7 68917
23 75 6 137638
24 75 7 465063
25 75 8 242942
26 75 8 645578
27 75 5 126852
28 75 6 554617
29 75 8 674392
30 75 7 383156
1 100 1 65
2 100 2 137
3 100 1 210
4 100 3 522
5 100 3 626
6 100 5 1204
7 100 5 1753
8 100 4 2375
9 100 5 7763
10 100 7 9125
11 100 5 13244
12 100 5 15603
13 100 6 23788
14 100 4 6751
15 100 6 42712
16 100 5 24060
17 100 6 38247
18 100 7 70100
19 100 6 84323
20 100 8 213272
21 100 7 134295
22 100 9 366523
23 100 7 289401
24 100 7 397570
25 100 6 113716
26 100 6 98015
27 100 8 425593
28 100 7 844208
29 100 7 591484
30 100 8 501251
1 1000 1 65
2 1000 2 128
3 1000 1 173
4 1000 2 344
5 1000 2 532
6 1000 4 1177
7 1000 5 2147
8 1000 3 2641
9 1000 4 2132
10 1000 4 3753
11 1000 5 8041
12 1000 4 6027
13 1000 4 7692
14 1000 6 29509
15 1000 6 23162
16 1000 5 18002
17 1000 6 35662
18 1000 6 112141
19 1000 5 38539
20 1000 8 106317
21 1000 8 281142
22 1000 7 176374
23 1000 5 98615
24 1000 7 154139
25 1000 6 57103
26 1000 8 373226
27 1000 7 616561
28 1000 8 563405
29 1000 8 810712
30 1000 10 3343589
1 10 0 74
2 10 0 95
3 10 0 112
4 10 0 139
5 10 2 278
6 10 2 264
7 10 1 386
8 10 0 220
9 10 1 413
10 10 1 397
11 10 2 945
12 10 1 787
13 10 2 1336
14 10 3 1426
15 10 2 2906
16 10 3 3060
17 10 2 2740
18 10 3 2286
19 10 4 3990
20 10 2 2229
21 10 1 1595
22 10 1 1295
23 10 2 2792
24 10 3 3426
25 10 3 4373
26 10 2 3522
27 10 4 17650
28 10 4 8343
29 10 2 5830
30 10 3 10043
1 20 1 89
2 20 1 126
3 20 1 196
4 20 2 487
5 20 1 305
6 20 1 708
7 20 1 713
8 20 1 471
9 20 2 1730
10 20 3 1944
11 20 3 3647
12 20 4 2848
13 20 2 2857
14 20 4 6085
15 20 3 3631
16 20 4 5351
17 20 4 10965
18 20 2 3943
19 20 5 16561
20 20 4 3936
21 20 3 5023
22 20 4 6711
23 20 3 10345
24 20 6 49583
25 20 3 4958
26 20 5 27551
27 20 6 36682
28 20 7 59198
29 20 6 55647
30 20 3 16739
1 50 1 98
2 50 1 186
3 50 3 390
4 50 2 393
5 50 3 805
6 50 2 1183
7 50 4 2410
8 50 4 3232
9 50 6 6109
10 50 4 3590
11 50 5 9207
12 50 6 14502
13 50 4 4731
14 50 7 22817
15 50 5 29932
16 50 5 26329
17 50 3 13340
18 50 5 45887
19 50 4 21271
20 50 6 109120
21 50 5 42566
22 50 5 67787
23 50 6 115310
24 50 8 366615
25 50 6 220542
26 50 8 353352
27 50 8 715323
28 50 8 405750
29 50 10 1104914
30 50 7 749959
1 75 1 100
2 75 2 190
3 75 1 331
4 75 3 647
5 75 2 940
6 75 3 1646
7 75 2 1962
8 75 4 4196
9 75 5 9763
10 75 6 13574
11 75 4 12909
12 75 6 20889
13 75 3 13734
14 75 5 24762
15 75 4 28272
16 75 6 69678
17 75 5 67015
18 75 5 82421
19 75 8 227068
20 75 5 55710
21 75 6 112205
22 75 5 188605
23 75 6 195115
24 75 7 288764
25 75 6 124606
26 75 5 247612
27 75 8 383446
28 75 7 257222
29 75 7 478321
30 75 11 2968054
1 100 1 71
2 100 2 124
