n r res t
25 10 3 4896
26 10 2 3580
27 10 3 3963
28 10 3 6525
29 10 6 22457
30 10 3 3608
1 20 1 222
2 20 1 152
3 20 1 247
4 20 2 443
5 20 1 216
6 20 2 429
7 20 1 631
8 20 2 613
9 20 2 949
10 20 3 2484
11 20 2 1810
12 20 3 3253
13 20 4 5078
14 20 3 2206
15 20 3 4781
16 20 4 6161
17 20 5 24390
18 20 5 12763
19 20 4 8372
20 20 3 4210
21 20 5 25267
22 20 5 8461
23 20 4 13241
24 20 4 20743
25 20 6 18513
26 20 5 32159
27 20 3 21924
28 20 5 31127
29 20 6 51866
30 20 5 28773
1 50 1 51
2 50 2 140
3 50 3 248
4 50 3 437
5 50 4 883
6 50 3 1095
7 50 5 2356
8 50 4 2821
9 50 3 2926
10 50 5 5130
11 50 4 4088
12 50 5 8478
13 50 4 9326
14 50 5 16006
15 50 4 14419
16 50 6 26215
17 50 6 73302
18 50 5 41922
19 50 4 25146
20 50 6 129025
21 50 5 42315
22 50 7 67290
23 50 6 104757
24 50 7 444607
25 50 7 195099
26 50 8 733565
27 50 5 150570
28 50 6 344922
29 50 8 729414
30 50 6 255460
1 75 1 86
2 75 2 127
3 75 1 214
4 75 3 481
5 75 3 623
6 75 5 1199
7 75 5 1835
8 75 4 2525
9 75 5 7774
10 75 7 9315
11 75 5 13408
12 75 5 20469
13 75 6 31818
14 75 4 6913
15 75 6 41937
16 75 5 23770
17 75 6 35543
18 75 7 70070
19 75 6 84018
20 75 8 213426
21 75 7 134831
22 75 9 384937
23 75 7 308436
24 75 7 393807
25 75 6 176004
26 75 6 156711
27 75 8 677378
28 75 7 1065656
29 75 7 645368
30 75 8 512544
1 100 1 73
2 100 2 123
3 100 1 204
4 100 2 375
5 100 2 649
6 100 4 1285
7 100 5 1983
8 100 3 2631
9 100 4 2116
10 100 4 3755
11 100 5 8236
12 100 4 5966
13 100 4 7749
14 100 6 29203
15 100 6 23116
16 100 5 17878
17 100 6 35778
18 100 6 111561
19 100 5 38382
20 100 8 109214
21 100 8 280044
22 100 7 175829
23 100 5 99470
24 100 7 134057
25 100 6 57759
26 100 8 498239
27 100 7 629262
28 100 8 701931
29 100 8 816585
30 100 10 3369646
1 1 0 66
2 1 0 68
3 1 0 110
4 1 0 128
5 1 0 162
6 1 1 269
7 1 0 163
8 1 0 207
9 1 0 226
10 1 0 268
11 1 1 570
12 1 0 514
13 1 0 459
14 1 0 307
15 1 0 340
16 1 0 393
17 1 0 456
18 1 1 532
19 1 1 636
20 1 0 467
21 1 0 506
22 1 0 500
23 1 0 531
24 1 0 535
25 1 0 565
26 1 1 638
27 1 0 586
28 1 1 1664
29 1 0 641
30 1 0 655
1 10 1 65
2 10 0 71
3 10 1 157
4 10 1 221
5 10 1 192
6 10 1 342
7 10 0 204
8 10 0 202
9 10 1 368
10 10 2 550
11 10 2 1238
12 10 3 957
13 10 1 826
14 10 3 1425
15 10 2 972
16 10 3 1954
17 10 2 2296
18 10 1 950
19 10 4 4875
20 10 2 905
21 10 2 1392
22 10 2 2093
23 10 2 2420
24 10 5 15554
25 10 1 1350
26 10 4 7631
27 10 4 7282
28 10 5 12300
29 10 4 11049
30 10 2 2883
1 20 1 58
2 20 1 118
3 20 2 140
4 20 1 163
5 20 2 525
6 20 1 269
7 20 3 525
8 20 3 850
9 20 4 1974
10 20 2 1004
11 20 4 2170
12 20 3 2779
13 20 3 882
14 20 5 9561
15 20 4 4391
16 20 3 4934
17 20 3 4068
18 20 3 5195
19 20 2 3380
20 20 4 8722
21 20 3 4440
22 20 3 8837
23 20 5 25716
24 20 6 39287
25 20 4 31367
26 20 5 36111
27 20 6 109009
28 20 4 26875
29 20 7 141607
30 20 5 28059
1 50 1 41
2 50 2 122
3 50 1 207
4 50 3 437
5 50 2 541
6 50 3 1077
7 50 2 1153
8 50 4 2472
9 50 4 4826
10 50 6 8159
11 50 4 5869
12 50 6 10632
13 50 3 7791
14 50 5 14656
15 50 4 13046
16 50 6 32051
17 50 5 35598
18 50 5 37406
19 50 8 125094
20 50 4 20689
21 50 6 52287
22 50 5 100507
23 50 6 157546
24 50 7 200122
25 50 6 113430
26 50 5 138758
27 50 8 290618
28 50 6 202417
29 50 6 298877
30 50 10 1768092
1 75 1 79
2 75 2 204
3 75 2 326
4 75 3 611
5 75 2 1001
6 75 3 1168
7 75 4 1931
8 75 4 3305
9 75 4 2841
10 75 5 6705
11 75 4 5630
12 75 6 7339
13 75 6 29872
14 75 8 38054
15 75 7 69626
16 75 4 21716
17 75 5 23661
18 75 5 32330
19 75 5 52915
20 75 8 103964
21 75 7 118509
22 75 6 69108
23 75 6 81749
24 75 7 141343
25 75 7 262131
26 75 6 488036
27 75 8 540068
28 75 7 660414
29 75 7 436440
30 75 7 443446
1 100 1 51
2 100 2 109
3 100 3 215
4 100 3 382
5 100 3 910
6 100 2 1018
7 100 4 2808
8 100 4 2063
9 100 4 4391
10 100 6 6674
11 100 5 9001
12 100 3 6039
13 100 5 7280
14 100 6 29408
15 100 7 51000
16 100 5 24976
17 100 6 27922
18 100 5 44815
19 100 4 26727
20 100 8 286742
