n r res t
30 10 4 21440858634
1 20 0 178
2 20 1 176
3 20 2 371
4 20 1 684
5 20 2 1233
6 20 2 1871
7 20 2 4126
8 20 2 7797
9 20 1 15216
10 20 2 23202
11 20 3 38280
12 20 3 82460
13 20 4 151784
14 20 5 313063
15 20 2 849012
16 20 4 1567357
17 20 3 3711182
18 20 3 5944610
19 20 5 14200329
20 20 3 24538292
21 20 4 50575412
22 20 3 96422792
23 20 7 168330707
24 20 3 340984868
25 20 7 671206639
26 20 4 1341602739
27 20 4 2691301552
28 20 5 5278885058
29 20 5 10621922348
30 20 7 21282329744
1 50 1 102
2 50 1 155
3 50 2 295
4 50 3 423
5 50 2 973
6 50 2 1656
7 50 3 2827
8 50 4 5476
9 50 4 11012
10 50 7 21101
11 50 4 39570
12 50 3 78089
13 50 4 161972
14 50 5 307783
15 50 5 609265
16 50 4 1263462
17 50 6 4000492
18 50 6 4886404
19 50 5 9751106
20 50 6 19687915
21 50 7 41749238
22 50 6 82505836
23 50 9 169480412
24 50 7 322979852
25 50 9 652850551
26 50 7 1302051960
27 50 7 2616295000
28 50 6 5199982965
29 50 9 10497459341
30 50 7 21313664291
1 75 1 109
2 75 1 177
3 75 1 302
4 75 2 561
5 75 2 887
6 75 3 1498
7 75 4 2865
8 75 3 5392
9 75 3 10634
10 75 5 20610
11 75 5 39768
12 75 6 79820
13 75 5 155969
14 75 5 315877
15 75 6 609865
16 75 5 1205678
17 75 9 2507013
18 75 6 4841481
19 75 5 10277667
20 75 7 19385477
21 75 7 39518172
22 75 7 79439489
23 75 6 157439809
24 75 5 330534702
25 75 7 652025131
26 75 7 1374588169
27 75 7 2731710583
28 75 8 5366807896
29 75 8 10561187375
30 75 9 21469238969
1 100 1 129
2 100 1 217
3 100 2 450
4 100 3 893
5 100 3 1409
6 100 4 2293
7 100 4 2797
8 100 5 5625
9 100 4 12298
10 100 4 19860
11 100 4 39815
12 100 5 79804
13 100 4 166692
14 100 6 433314
15 100 7 894404
16 100 4 1692766
17 100 4 2449480
18 100 6 4906065
19 100 5 10040187
20 100 5 21690536
21 100 6 42492159
22 100 7 90411568
23 100 7 167344923
24 100 6 355402025
25 100 5 666607901
26 100 5 1327303480
27 100 6 2595511183
28 100 8 5191572311
29 100 7 10464471264
30 100 12 21079908877
1 1 1 91
2 1 0 151
3 1 0 214
4 1 0 372
5 1 0 952
6 1 1 2154
7 1 0 3149
8 1 1 7050
9 1 0 9420
10 1 0 23743
11 1 0 41410
12 1 1 76740
13 1 1 150891
14 1 1 417105
15 1 0 626196
16 1 1 1328362
17 1 1 2856555
18 1 0 4961046
19 1 0 9600142
20 1 0 20655177
21 1 1 39750391
22 1 1 80713331
23 1 1 168795599
24 1 1 324234460
25 1 0 659704617
26 1 1 1291750777
27 1 0 2584390893
28 1 0 5187411326
29 1 0 10585646011
30 1 1 21110900453
1 10 0 83
2 10 0 136
3 10 2 223
4 10 1 446
5 10 1 726
6 10 2 1412
7 10 1 2551
8 10 1 4908
9 10 2 9728
10 10 1 18894
11 10 1 37516
12 10 3 76543
13 10 2 160127
14 10 2 300641
15 10 2 641828
16 10 2 1214274
17 10 3 2407300
18 10 2 4802231
19 10 3 9772105
20 10 1 20297681
21 10 3 40378828
22 10 2 79482021
23 10 3 158175108
24 10 3 322313586
25 10 4 634953372
26 10 2 1288947209
27 10 6 2623156690
28 10 4 5248144913
29 10 7 10427565681
30 10 3 20893082433
1 20 0 94
2 20 1 143
3 20 1 226
4 20 1 432
5 20 2 889
6 20 2 1382
7 20 1 2691
8 20 2 5036
9 20 3 9834
10 20 3 19313
11 20 4 37986
12 20 3 76776
13 20 5 152830
14 20 2 301140
15 20 5 600305
16 20 4 1202029
17 20 3 2417754
