n r res t
21 100 5 19503
22 100 7 24978
23 100 8 30549
24 100 7 43184
25 100 8 31553
26 100 8 33204
27 100 9 37336
28 100 5 40136
29 100 6 32336
30 100 9 46440
1 1000 1 2203
2 1000 1 2627
3 1000 2 2689
4 1000 2 3416
5 1000 3 4170
6 1000 3 4589
7 1000 4 5509
8 1000 4 6627
9 1000 3 6773
10 1000 5 10118
11 1000 4 9783
12 1000 6 11411
13 1000 6 14093
14 1000 6 15305
15 1000 5 14359
16 1000 7 17251
17 1000 6 17504
18 1000 6 19380
19 1000 4 18467
20 1000 7 24911
21 1000 7 23901
22 1000 6 24975
23 1000 7 24919
24 1000 7 28537
25 1000 7 31579
26 1000 8 34462
27 1000 7 32131
28 1000 8 37853
29 1000 9 37451
30 1000 6 36106
1 10 0 473
2 10 1 653
3 10 1 859
4 10 1 1072
5 10 1 1180
6 10 1 1225
7 10 2 1876
8 10 1 1763
9 10 1 1917
10 10 1 2048
11 10 1 2306
12 10 2 3839
13 10 2 4096
14 10 3 5051
15 10 3 4621
16 10 3 8095
17 10 1 5844
18 10 3 6917
19 10 3 6755
20 10 1 7039
21 10 1 7105
22 10 3 9966
23 10 3 8119
24 10 3 6814
25 10 3 6269
26 10 3 9525
27 10 4 9094
28 10 4 12303
29 10 4 15138
30 10 2 8895
1 20 1 498
2 20 2 696
3 20 1 924
4 20 2 1271
5 20 2 1566
6 20 2 1754
7 20 2 2019
8 20 3 3142
9 20 3 2951
10 20 2 3036
11 20 3 3460
12 20 1 3921
13 20 2 3762
14 20 4 6348
15 20 2 5807
16 20 3 5189
17 20 3 6773
18 20 3 7568
19 20 5 9323
20 20 2 6907
21 20 7 14450
22 20 3 11020
23 20 4 9621
24 20 3 15755
25 20 6 21752
26 20 7 15122
27 20 6 17576
28 20 4 11800
29 20 3 11925
30 20 6 18959
1 50 1 600
2 50 2 996
3 50 3 1051
4 50 2 1313
5 50 3 1729
6 50 2 2204
7 50 3 2635
8 50 3 3841
9 50 3 5811
10 50 4 5282
11 50 4 8113
12 50 4 7409
13 50 5 7827
14 50 8 10642
15 50 4 9986
16 50 5 14347
17 50 5 16722
18 50 5 13985
19 50 5 14132
20 50 5 19208
21 50 6 20391
22 50 5 19555
23 50 8 29146
24 50 6 22377
25 50 9 31233
26 50 5 21706
27 50 6 30077
28 50 7 30995
29 50 8 34210
30 50 10 37766
1 75 1 694
2 75 2 1026
3 75 2 1154
4 75 3 1688
5 75 2 1827
6 75 3 2236
7 75 4 3220
8 75 4 3746
9 75 5 5394
10 75 8 8210
11 75 4 7195
12 75 4 7841
13 75 4 10940
14 75 5 13883
15 75 6 15997
16 75 4 11474
17 75 7 17775
18 75 6 18475
19 75 5 16526
20 75 6 20343
21 75 7 27004
22 75 6 25319
23 75 9 28074
24 75 8 29347
25 75 9 34489
26 75 7 48293
27 75 7 34421
28 75 6 31358
29 75 9 40259
30 75 7 40352
1 100 1 812
2 100 1 1109
3 100 1 1297
4 100 2 1856
5 100 2 2127
6 100 3 2912
7 100 4 3671
8 100 3 4306
9 100 3 4993
10 100 5 7152
11 100 5 7754
12 100 6 9883
13 100 5 11214
14 100 5 11915
15 100 6 15066
16 100 5 27859
17 100 9 22028
18 100 6 19745
19 100 5 19033
20 100 7 21751
21 100 7 28749
22 100 7 22495
23 100 6 39470
24 100 5 24054
25 100 7 48116
26 100 7 34885
27 100 7 47241
28 100 8 31919
29 100 8 45324
30 100 9 37620
1 1000 1 2175
2 1000 1 2394
3 1000 2 2671
4 1000 3 3112
5 1000 3 3593
6 1000 4 4608
7 1000 4 4873
8 1000 5 6139
9 1000 4 6739
10 1000 4 7621
11 1000 4 7887
12 1000 5 21900
13 1000 4 10427
14 1000 6 11325
15 1000 7 19320
16 1000 4 14407
17 1000 4 16188
18 1000 6 18849
19 1000 5 19187
20 1000 5 18977
21 1000 6 25114
22 1000 7 33085
23 1000 7 32334
24 1000 6 27582
25 1000 5 31934
26 1000 5 26764
27 1000 6 38569
28 1000 8 41137
29 1000 7 51410
30 1000 12 51607
1 10 1 470
2 10 1 657
3 10 1 834
4 10 2 1238
5 10 0 1083
6 10 2 1517
7 10 1 1754
8 10 2 1968
9 10 3 2111
10 10 2 2380
11 10 1 2441
12 10 1 3137
13 10 2 3741
14 10 2 4176
15 10 1 4010
16 10 2 4112
17 10 2 4268
18 10 2 5837
19 10 3 7437
20 10 2 5983
21 10 4 7458
22 10 4 7740
23 10 4 7953
24 10 4 9535
25 10 2 7863
26 10 5 9339
27 10 3 9737
28 10 2 7838
29 10 3 9851
30 10 3 9993
1 20 0 661
2 20 1 840
3 20 2 1149
4 20 2 1094
5 20 1 1337
6 20 3 1702
7 20 2 2380
8 20 2 2443
9 20 2 2671
10 20 1 2596
11 20 2 3658
12 20 4 5420
13 20 3 6024
14 20 3 5662
15 20 3 7002
16 20 3 5455
17 20 5 9062
18 20 3 7833
19 20 5 10411
20 20 2 7373
21 20 4 9010
22 20 3 10597
23 20 5 11667
24 20 4 10059
25 20 5 13636
26 20 4 14052
27 20 7 17345
28 20 6 19181
29 20 8 21536
30 20 5 15042
1 50 1 569
2 50 1 918
3 50 2 1073
4 50 2 1513
5 50 2 2129
6 50 4 3352
7 50 4 3310
8 50 4 3514
9 50 4 5499
10 50 4 6354
11 50 5 7780
12 50 5 10615
13 50 7 13450
14 50 4 9831
15 50 6 13610
16 50 6 13772
17 50 4 12992
18 50 5 14736
19 50 5 18979
20 50 4 17969
21 50 5 21280
22 50 6 26201
23 50 6 23671
24 50 5 27241
25 50 5 19325
26 50 9 32985
27 50 7 33226
28 50 8 35326
29 50 6 48897
30 50 6 44387
1 75 1 857
2 75 1 1004
3 75 2 1683
4 75 2 1518
5 75 2 1700
6 75 3 2399
7 75 3 2990
8 75 6 4943
