n r res t
13 1000 5 10927
14 1000 6 10415
15 1000 7 21982
16 1000 5 21949
17 1000 5 20518
18 1000 7 68020
19 1000 6 43505
20 1000 7 194449
21 1000 5 133236
22 1000 6 265452
23 1000 5 270686
24 1000 7 268417
25 1000 8 439475
26 1000 5 103579
27 1000 7 419940
28 1000 5 283183
29 1000 10 879088
30 1000 6 400070
1 10 1 82
2 10 2 151
3 10 0 145
4 10 2 286
5 10 1 268
6 10 1 374
7 10 2 668
8 10 2 586
9 10 1 283
10 10 2 903
11 10 3 912
12 10 2 919
13 10 2 2646
14 10 3 1446
15 10 3 5585
16 10 3 3193
17 10 2 2201
18 10 4 3154
19 10 3 1914
20 10 3 4650
21 10 4 2195
22 10 3 6630
23 10 1 1658
24 10 4 7485
25 10 3 5926
26 10 1 2080
27 10 3 9298
28 10 4 15263
29 10 4 7872
30 10 3 4497
1 20 0 98
2 20 1 206
3 20 2 432
4 20 2 263
5 20 2 639
6 20 3 522
7 20 1 566
8 20 2 1043
9 20 4 1851
10 20 2 1738
11 20 3 1924
12 20 5 2028
13 20 4 5101
14 20 5 2671
15 20 4 3343
16 20 3 4215
17 20 7 11882
18 20 3 7585
19 20 3 5213
20 20 4 8916
21 20 3 7872
22 20 5 21082
23 20 2 10494
24 20 5 27262
25 20 4 11806
26 20 5 34960
27 20 4 25357
28 20 4 31540
29 20 5 22103
30 20 4 17731
1 50 1 81
2 50 2 199
3 50 2 286
4 50 3 398
5 50 3 437
6 50 4 583
7 50 5 696
8 50 3 1301
9 50 3 1861
10 50 2 3052
11 50 5 2788
12 50 5 5898
13 50 4 4214
14 50 5 14566
15 50 6 11715
16 50 6 14522
17 50 5 15855
18 50 5 53115
19 50 5 35052
20 50 4 25632
21 50 4 47878
22 50 6 87914
23 50 6 56540
24 50 6 95456
25 50 6 111685
26 50 9 110676
27 50 9 458852
28 50 6 156357
29 50 5 127990
30 50 7 473439
1 75 1 110
2 75 2 211
3 75 2 276
4 75 2 352
5 75 3 479
6 75 4 928
7 75 4 1179
8 75 6 1506
9 75 4 2483
10 75 4 2099
11 75 3 4338
12 75 4 5401
13 75 6 18120
14 75 5 14022
15 75 5 12605
16 75 7 23790
17 75 7 33429
18 75 6 23546
19 75 6 42594
20 75 5 44470
21 75 6 35883
22 75 6 58742
23 75 5 48688
24 75 6 88705
25 75 9 556969
26 75 7 384104
27 75 8 203418
28 75 8 216604
29 75 7 265874
30 75 7 497007
1 100 1 107
2 100 2 191
3 100 1 178
4 100 2 407
5 100 3 260
6 100 3 849
7 100 3 1079
8 100 6 1019
9 100 5 1689
10 100 4 1750
11 100 5 7080
12 100 6 6341
13 100 6 19946
14 100 5 9328
15 100 5 20152
16 100 6 24294
17 100 6 54171
18 100 5 33268
19 100 7 43326
20 100 7 46610
21 100 7 72732
22 100 5 58678
23 100 8 161845
24 100 6 44190
25 100 10 340821
26 100 8 217538
27 100 6 141727
28 100 6 134669
29 100 9 568941
30 100 5 79717
1 1000 1 68
2 1000 2 125
3 1000 2 186
4 1000 3 266
5 1000 4 314
6 1000 3 844
7 1000 3 1101
8 1000 4 1640
9 1000 4 1905
10 1000 5 3119
11 1000 3 3146
12 1000 5 7702
13 1000 6 10397
14 1000 5 4676
15 1000 6 16005
16 1000 5 16187
17 1000 6 16814
18 1000 6 63314
19 1000 5 33002
20 1000 6 38759
21 1000 5 43478
22 1000 7 48299
23 1000 7 129556
24 1000 6 77031
25 1000 7 150560
26 1000 8 291578
27 1000 5 112590
28 1000 8 168393
29 1000 7 386173
30 1000 6 294421
1 10 0 92
2 10 1 145
3 10 1 139
4 10 1 188
5 10 1 300
6 10 2 384
7 10 2 295
8 10 2 397
9 10 1 517
10 10 3 1056
11 10 2 517
12 10 2 851
13 10 2 769
14 10 1 578
15 10 3 1156
16 10 2 1578
17 10 2 2272
18 10 1 936
19 10 3 1503
20 10 2 3613
21 10 4 6960
22 10 4 3913
23 10 2 2774
24 10 3 5832
25 10 3 5182
26 10 2 4540
27 10 3 5213
28 10 4 9990
29 10 2 2526
30 10 4 7099
1 20 1 95
2 20 0 143
3 20 1 205
4 20 2 481
5 20 2 498
6 20 2 808
7 20 1 906
8 20 3 773
9 20 3 1513
10 20 3 2057
11 20 4 2692
12 20 4 5513
13 20 2 2410
14 20 2 3245
15 20 4 3718
16 20 2 2188
17 20 4 4301
18 20 3 7505
19 20 5 10153
20 20 5 19333
21 20 5 22400
22 20 4 13316
23 20 3 7529
24 20 7 41132
25 20 5 21305
26 20 3 23104
27 20 4 26117
28 20 4 46675
29 20 7 83794
30 20 4 21141
1 50 1 103
2 50 2 202
3 50 2 323
4 50 3 441
5 50 2 452
6 50 3 794
7 50 3 2433
8 50 3 1634
9 50 3 1350
10 50 4 2123
11 50 4 2005
12 50 5 7735
13 50 5 9482
14 50 5 8948
15 50 5 16526
16 50 6 45154
17 50 6 31489
18 50 6 50626
19 50 6 53151
20 50 5 30170
21 50 6 78386
22 50 6 33615
23 50 6 47565
24 50 6 151280
25 50 7 24308
26 50 7 169898
27 50 6 436517
