n r res t
14 1000 6 301800
15 1000 7 608812
16 1000 4 1201599
17 1000 4 2404031
18 1000 6 4807094
19 1000 5 9613295
20 1000 5 19199022
21 1000 6 38430599
22 1000 7 76974731
23 1000 7 156065800
24 1000 6 313267095
25 1000 5 616810595
26 1000 5 1234549047
27 1000 6 2483145062
28 1000 8 5021502390
29 1000 7 9861572460
30 1000 12 19668871985
1 10 1 134
2 10 1 131
3 10 1 247
4 10 2 473
5 10 0 696
6 10 2 1404
7 10 1 2567
8 10 2 4912
9 10 3 9755
10 10 2 18911
11 10 1 37781
12 10 1 77938
13 10 2 160925
14 10 2 299729
15 10 1 631630
16 10 2 1269641
17 10 2 2741967
18 10 2 6872897
19 10 3 10293906
20 10 2 20400274
21 10 4 38463884
22 10 4 77161428
23 10 4 155064553
24 10 4 311595217
25 10 2 623291029
26 10 5 1254862134
27 10 3 2538264024
28 10 2 5124742996
29 10 3 10098464940
30 10 3 20210244863
1 20 0 125
2 20 1 134
3 20 2 282
4 20 2 405
5 20 1 730
6 20 3 1767
7 20 2 3535
8 20 2 5757
9 20 2 10475
10 20 1 19110
11 20 2 41650
12 20 4 76529
13 20 3 151423
14 20 3 300090
15 20 3 600283
16 20 3 1210104
17 20 5 2406167
18 20 3 4825905
19 20 5 9922903
20 20 2 19293891
21 20 4 39608488
22 20 3 77585975
23 20 5 156161879
24 20 4 316832079
25 20 5 625592073
26 20 4 1239205530
27 20 7 2481239357
28 20 6 4946694635
29 20 8 9955506663
30 20 5 19923002343
1 50 1 75
2 50 1 166
3 50 2 248
4 50 2 575
5 50 2 978
6 50 4 1717
7 50 4 2877
8 50 4 5416
9 50 4 10257
10 50 4 20021
11 50 5 39413
12 50 5 78450
13 50 7 157214
14 50 4 302376
15 50 6 608631
16 50 6 1205537
17 50 4 2600234
18 50 5 4821954
19 50 5 9653703
20 50 4 19279283
21 50 5 38523021
22 50 6 77847233
23 50 6 154167569
24 50 5 308511695
25 50 5 617272889
26 50 9 1234607283
27 50 7 2470536073
28 50 8 4943161869
29 50 6 9923642043
30 50 6 20238790666
1 75 1 151
2 75 1 221
3 75 2 474
4 75 2 714
5 75 2 1409
6 75 3 2467
7 75 3 4610
8 75 6 9048
9 75 4 18384
10 75 5 34291
11 75 3 66745
12 75 6 104164
13 75 4 152770
14 75 6 309473
15 75 6 623017
16 75 7 1212512
17 75 5 2414184
18 75 7 5225327
19 75 6 12070158
20 75 5 22056520
21 75 9 38846830
22 75 5 77095381
23 75 6 162382319
24 75 8 310920923
25 75 7 629633916
26 75 7 1248725418
27 75 9 2514346044
28 75 7 5039403606
29 75 8 10219258829
30 75 7 20112482167
1 100 1 118
2 100 2 128
3 100 2 270
4 100 2 574
5 100 2 920
6 100 4 1679
7 100 5 2884
8 100 4 5332
9 100 3 10402
10 100 4 20346
11 100 5 39509
12 100 4 78327
13 100 5 154178
14 100 5 301753
15 100 6 608816
16 100 6 1203411
17 100 4 2620185
18 100 5 5018172
19 100 7 9652069
20 100 5 19868969
21 100 7 38934310
22 100 9 78086948
23 100 9 157711069
24 100 5 315833713
25 100 7 625991870
26 100 6 1249893574
27 100 7 2527956767
28 100 7 5011554718
29 100 7 9995360943
30 100 9 20073456884
1 1000 1 102
2 1000 2 174
3 1000 3 295
4 1000 3 553
5 1000 4 906
6 1000 4 1709
7 1000 4 3059
8 1000 4 5687
9 1000 5 10796
10 1000 3 20088
11 1000 5 40237
12 1000 4 77491
13 1000 5 153816
14 1000 6 306201
15 1000 7 611577
16 1000 5 1203479
17 1000 5 2429598
18 1000 7 4864779
19 1000 6 9636015
20 1000 7 19364460
21 1000 5 38599078
22 1000 6 77181656
23 1000 5 154433924
24 1000 7 310242226
25 1000 8 642876784
26 1000 5 1245069693
27 1000 7 2555994735
28 1000 5 4972681564
29 1000 10 9982429187
30 1000 6 20012978773
1 10 1 251
2 10 2 191
3 10 0 437
4 10 2 1013
5 10 1 1628
6 10 1 2716
7 10 2 5411
8 10 2 10832
9 10 1 20604
10 10 2 40749
11 10 3 80243
12 10 2 101922
13 10 2 150377
14 10 3 320689
15 10 3 598891
16 10 3 1197446
17 10 2 2401236
18 10 4 4820745
19 10 3 9898606
20 10 3 19257378
21 10 4 38479290
22 10 3 77177293
23 10 1 157866698
24 10 4 309581170
25 10 3 627855082
26 10 1 1247031627
27 10 3 2502948563
28 10 4 5007766105
29 10 4 9915273085
30 10 3 20064705929
1 20 0 95
2 20 1 161
3 20 2 233
4 20 2 576
5 20 2 862
6 20 3 1430
7 20 1 2624
8 20 2 5117
9 20 4 10079
10 20 2 19590
11 20 3 38244
12 20 5 76277
13 20 4 159543
14 20 5 316155
15 20 4 598849
16 20 3 1201206
17 20 7 2405896
18 20 3 4802779
19 20 3 9679423
20 20 4 19284431
21 20 3 38513894
22 20 5 77967818
23 20 2 158614154
24 20 5 315056142
25 20 4 650087570
26 20 5 1281250153
27 20 4 2503973893
28 20 4 4985570544
29 20 5 10000281491
30 20 4 20169908466
1 50 1 109
2 50 2 159
3 50 2 250
4 50 3 456
5 50 3 908
6 50 4 1668
7 50 5 3139
8 50 3 5483
9 50 3 10649
10 50 2 19860
11 50 5 39453
12 50 5 77925
13 50 4 152400
14 50 5 305426
15 50 6 603532
16 50 6 1204293
17 50 5 2403218
18 50 5 5295822
19 50 5 10137023
20 50 4 20167325
21 50 4 40404791
22 50 6 80389452
23 50 6 155017487
24 50 6 311289747
25 50 6 630512128
26 50 9 1260996635
27 50 9 2546367126
28 50 6 5017153743
