n r res t
8 75 6 553
9 75 4 3788
10 75 5 2561
11 75 3 5944
12 75 6 6889
13 75 4 5774
14 75 6 7232
15 75 6 9828
16 75 7 21450
17 75 5 15481
18 75 7 43467
19 75 6 45096
20 75 5 32298
21 75 9 146598
22 75 5 35319
23 75 6 120089
24 75 8 195111
25 75 7 126038
26 75 7 198852
27 75 9 376527
28 75 7 548396
29 75 8 473573
30 75 7 740059
1 100 1 86
2 100 2 166
3 100 2 202
4 100 2 307
5 100 2 674
6 100 4 912
7 100 5 1243
8 100 4 1888
9 100 3 2202
10 100 4 2795
11 100 5 4209
12 100 4 8630
13 100 5 9385
14 100 5 5242
15 100 6 24189
16 100 6 15695
17 100 4 20748
18 100 5 31970
19 100 7 54752
20 100 5 52075
21 100 7 47576
22 100 9 162214
23 100 9 246169
24 100 5 57536
25 100 7 69470
26 100 6 103001
27 100 7 599583
28 100 7 512808
29 100 7 369685
30 100 9 516791
1 1000 1 109
2 1000 2 100
3 1000 3 222
4 1000 3 258
5 1000 4 305
6 1000 4 570
7 1000 4 757
8 1000 4 1944
9 1000 5 1767
10 1000 3 4992
11 1000 5 6402
12 1000 4 5215
13 1000 5 8537
14 1000 6 8151
15 1000 7 18400
16 1000 5 18011
17 1000 5 16339
18 1000 7 42347
19 1000 6 26106
20 1000 7 99968
21 1000 5 91345
22 1000 6 138205
23 1000 5 136217
24 1000 7 136995
25 1000 8 220849
26 1000 5 50312
27 1000 7 195415
28 1000 5 136785
29 1000 10 446368
30 1000 6 414722
1 10 1 76
2 10 2 127
3 10 0 128
4 10 2 202
5 10 1 232
6 10 1 216
7 10 2 365
8 10 2 536
9 10 1 298
10 10 2 653
11 10 3 874
12 10 2 897
13 10 2 1681
14 10 3 1448
15 10 3 3554
16 10 3 3150
17 10 2 1478
18 10 4 3133
19 10 3 1885
20 10 3 4532
21 10 4 2278
22 10 3 6631
23 10 1 2806
24 10 4 12468
25 10 3 5954
26 10 1 2796
27 10 3 9433
28 10 4 15468
29 10 4 10389
30 10 3 8393
1 20 0 90
2 20 1 165
3 20 2 186
4 20 2 248
5 20 2 413
6 20 3 550
7 20 1 389
8 20 2 764
9 20 4 1768
10 20 2 1789
11 20 3 1873
12 20 5 1983
13 20 4 5193
14 20 5 2923
15 20 4 3525
16 20 3 4312
17 20 7 11884
18 20 3 7438
19 20 3 5334
20 20 4 9210
21 20 3 7915
22 20 5 21086
23 20 2 10491
24 20 5 28523
25 20 4 13447
26 20 5 35109
27 20 4 26204
28 20 4 32919
29 20 5 23795
30 20 4 18426
1 50 1 101
2 50 2 180
3 50 2 200
4 50 3 742
5 50 3 576
6 50 4 684
7 50 5 728
8 50 3 1301
9 50 3 1895
10 50 2 3088
11 50 5 3026
12 50 5 6249
13 50 4 4414
14 50 5 14701
15 50 6 11485
16 50 6 15517
17 50 5 15594
18 50 5 52346
19 50 5 35500
20 50 4 32431
21 50 4 47600
22 50 6 92577
23 50 6 55089
24 50 6 92791
25 50 6 115799
26 50 9 120438
27 50 9 497619
28 50 6 157207
29 50 5 126656
30 50 7 472077
1 75 1 117
2 75 2 161
3 75 2 245
4 75 2 646
5 75 3 719
6 75 4 906
7 75 4 1228
8 75 6 1414
9 75 4 1879
10 75 4 2212
11 75 3 4632
12 75 4 5631
13 75 6 20455
14 75 5 11865
15 75 5 12401
16 75 7 20541
17 75 7 27237
18 75 6 24235
19 75 6 43532
20 75 5 42258
21 75 6 36650
22 75 6 59305
23 75 5 48574
24 75 6 83553
25 75 9 545998
26 75 7 378417
27 75 8 204184
28 75 8 215232
29 75 7 273144
30 75 7 513609
1 100 1 117
2 100 2 161
3 100 1 277
4 100 2 401
5 100 3 462
6 100 3 696
7 100 3 1792
8 100 6 883
9 100 5 2134
10 100 4 1905
11 100 5 5373
12 100 6 5779
13 100 6 17744
14 100 5 9471
15 100 5 16244
16 100 6 24362
17 100 6 71791
18 100 5 49765
19 100 7 67244
20 100 7 70163
21 100 7 106176
22 100 5 90696
23 100 8 228509
24 100 6 68540
25 100 10 422287
26 100 8 278454
27 100 6 229250
28 100 6 176740
29 100 9 569067
30 100 5 79733
1 1000 1 77
2 1000 2 132
3 1000 2 224
4 1000 3 197
5 1000 4 197
6 1000 3 818
7 1000 3 1062
8 1000 4 1555
9 1000 4 1359
10 1000 5 2581
11 1000 3 3254
12 1000 5 6433
13 1000 6 10056
14 1000 5 4750
15 1000 6 16216
16 1000 5 15704
17 1000 6 17153
18 1000 6 64112
19 1000 5 33313
20 1000 6 49239
21 1000 5 43655
22 1000 7 49324
23 1000 7 103846
24 1000 6 77088
25 1000 7 150378
26 1000 8 291991
27 1000 5 105834
28 1000 8 174085
29 1000 7 371170
30 1000 6 303778
1 10 0 121
2 10 1 152
3 10 1 220
4 10 1 325
5 10 1 467
6 10 2 441
7 10 2 496
8 10 2 387
9 10 1 844
10 10 3 1587
11 10 2 549
12 10 2 1506
13 10 2 780
14 10 1 1040
15 10 3 1839
16 10 2 1572
17 10 2 2880
18 10 1 917
19 10 3 2132
20 10 2 2795
21 10 4 4279
22 10 4 3699
23 10 2 2290
24 10 3 6076
25 10 3 5139
26 10 2 5342
27 10 3 5198
28 10 4 9193
29 10 2 3190
30 10 4 7017
1 20 1 101
2 20 0 84
3 20 1 359
4 20 2 235
5 20 2 515
6 20 2 1260
7 20 1 596
8 20 3 1304
9 20 3 1273
10 20 3 2211
11 20 4 2776
12 20 4 5774
13 20 2 2147
14 20 2 3260
15 20 4 3213
16 20 2 2922
17 20 4 3878
18 20 3 6988
19 20 5 8801
20 20 5 18676
21 20 5 22930
22 20 4 11325
23 20 3 7519
24 20 7 41771
25 20 5 13410
26 20 3 18593
27 20 4 15666
28 20 4 28133
29 20 7 51114
30 20 4 13121
1 50 1 108
2 50 2 113
3 50 2 146
4 50 3 157
5 50 2 618
6 50 3 875
7 50 3 1796
8 50 3 1186
9 50 3 2020
10 50 4 2084
11 50 4 2060
12 50 5 9190
13 50 5 13397
14 50 5 9264
15 50 5 17672
16 50 6 45510
17 50 6 30782
18 50 6 44467
19 50 6 52281
20 50 5 25052
21 50 6 69809
22 50 6 35418
23 50 6 48411
24 50 6 150780
25 50 7 25552
26 50 7 172333
27 50 6 463948
28 50 7 266062
29 50 7 255577
30 50 7 190140
1 75 1 110
2 75 2 181
3 75 3 235
4 75 3 147
5 75 4 331
6 75 3 1388
7 75 5 470
8 75 4 1909
9 75 3 3359
10 75 5 3517
11 75 4 3836
12 75 6 4716
13 75 4 7973
14 75 6 8965
15 75 5 14123
16 75 7 16455
17 75 6 51711
18 75 6 33961
19 75 5 31691
20 75 7 147635
21 75 5 50296
22 75 7 45523
23 75 6 88170
24 75 7 334143
25 75 8 90253
26 75 8 309668
27 75 5 114045
28 75 6 425003
29 75 8 466266
30 75 7 259374
1 100 1 71
2 100 2 107
3 100 1 177
4 100 3 144
5 100 3 329
6 100 5 225
7 100 5 695
8 100 4 1413
9 100 5 3879
10 100 7 1460
11 100 5 7999
12 100 5 9156
13 100 6 10225
14 100 4 5405
15 100 6 21261
16 100 5 18513
17 100 6 28161
18 100 7 29061
19 100 6 50803
20 100 8 124070
21 100 7 66313
22 100 9 143491
23 100 7 178067
24 100 7 218417
25 100 6 82142
26 100 6 65852
27 100 8 232936
28 100 7 678300
29 100 7 430018
30 100 8 361365
1 1000 1 123
2 1000 2 141
3 1000 1 228
4 1000 2 330
5 1000 2 586
6 1000 4 403
7 1000 5 422
8 1000 3 2024
9 1000 4 1396
10 1000 4 2533
11 1000 5 4736
12 1000 4 4375
13 1000 4 5562
14 1000 6 14904
15 1000 6 10487
16 1000 5 11172
17 1000 6 19241
18 1000 6 79892
19 1000 5 29733
20 1000 8 46561
21 1000 8 159875
22 1000 7 94078
23 1000 5 83388
24 1000 7 83646
25 1000 6 39498
26 1000 8 174409
27 1000 7 337947
28 1000 8 276010
29 1000 8 432959
30 1000 10 2011841
1 10 0 82
2 10 0 111
3 10 0 136
4 10 0 164
5 10 2 170
6 10 2 222
7 10 1 240
8 10 0 251
9 10 1 472
10 10 1 409
11 10 2 1080
12 10 1 861
13 10 2 846
14 10 3 1343
15 10 2 2399
16 10 3 2864
17 10 2 2411
18 10 3 1294
19 10 4 3280
20 10 2 1539
21 10 1 1333
22 10 1 1441
23 10 2 2271
24 10 3 3554
25 10 3 3337
26 10 2 2820
27 10 4 16236
28 10 4 7394
29 10 2 6684
30 10 3 10702
1 20 1 145
2 20 1 88
3 20 1 127
4 20 2 239
5 20 1 191
6 20 1 457
7 20 1 471
8 20 1 323
9 20 2 1168
10 20 3 934
11 20 3 3066
12 20 4 1192
13 20 2 2099
14 20 4 4309
15 20 3 3525
16 20 4 3927
17 20 4 9055
18 20 2 3354
19 20 5 10638
20 20 4 3339
21 20 3 4842
22 20 4 5549
23 20 3 9878
24 20 6 33654
25 20 3 4696
26 20 5 23082
27 20 6 21871
28 20 7 26223
29 20 6 45711
30 20 3 16448
1 50 1 69
2 50 1 95
3 50 3 133
4 50 2 245
5 50 3 409
6 50 2 624
7 50 4 805
8 50 4 1388
9 50 6 1245
10 50 4 2396
11 50 5 4201
12 50 6 5770
13 50 4 2777
14 50 7 11426
15 50 5 22002
16 50 5 18243
17 50 3 12592
18 50 5 36986
19 50 4 17556
20 50 6 63201
21 50 5 31167
22 50 5 53162
23 50 6 74835
24 50 8 136793
25 50 6 173991
26 50 8 123514
27 50 8 406581
28 50 8 231618
29 50 10 275434
30 50 7 312611
1 75 1 121
2 75 2 138
3 75 1 269
4 75 3 424
5 75 2 662
6 75 3 1132
7 75 2 1384
8 75 4 2385
9 75 5 3254
10 75 6 3628
11 75 4 6577
12 75 6 5205
13 75 3 7891
14 75 5 8131
15 75 4 14639
16 75 6 20756
17 75 5 29033
18 75 5 36468
19 75 8 41245
20 75 5 25267
21 75 6 33192
22 75 5 99458
23 75 6 121007
24 75 7 137674
25 75 6 91433
26 75 5 192689
27 75 8 206261
28 75 7 171226
29 75 7 290450
30 75 11 949397
1 100 1 122
2 100 2 112
3 100 2 129
4 100 3 238
5 100 2 601
6 100 3 782
7 100 4 1319
8 100 4 2453
9 100 4 2000
10 100 5 2772
