n r res t
26 20 4 8618
27 20 4 25792
28 20 5 34924
29 20 5 63167
30 20 7 141124
1 50 1 71
2 50 1 96
3 50 2 138
4 50 3 157
5 50 2 467
6 50 2 635
7 50 3 792
8 50 4 748
9 50 4 2388
10 50 7 4988
11 50 4 6315
12 50 3 10387
13 50 4 10196
14 50 5 14353
15 50 5 17614
16 50 4 10735
17 50 6 24917
18 50 6 33914
19 50 5 9090
20 50 6 52111
21 50 7 94968
22 50 6 124451
23 50 9 57270
24 50 7 205386
25 50 9 147356
26 50 7 148740
27 50 7 428478
28 50 6 175527
29 50 9 626399
30 50 7 490361
1 75 1 80
2 75 1 141
3 75 1 312
4 75 2 452
5 75 2 735
6 75 3 1206
7 75 4 1106
8 75 3 1337
9 75 3 2104
10 75 5 3257
11 75 5 5716
12 75 6 7134
13 75 5 11572
14 75 5 14948
15 75 6 20037
16 75 5 17465
17 75 9 29563
18 75 6 43686
19 75 5 32300
20 75 7 47526
21 75 7 145076
22 75 7 51512
23 75 6 114502
24 75 5 94168
25 75 7 120521
26 75 7 226402
27 75 7 530260
28 75 8 185113
29 75 8 297407
30 75 9 478383
1 100 1 164
2 100 1 155
3 100 2 337
4 100 3 417
5 100 3 540
6 100 4 590
7 100 4 984
8 100 5 1855
9 100 4 1736
10 100 4 2359
11 100 4 3173
12 100 5 13709
13 100 4 7466
14 100 6 6763
15 100 7 20616
16 100 4 14711
17 100 4 22457
18 100 6 29919
19 100 5 33665
20 100 5 25042
21 100 6 94094
22 100 7 258286
23 100 7 114933
24 100 6 73250
25 100 5 178995
26 100 5 74608
27 100 6 379963
28 100 8 795764
29 100 7 399906
30 100 12 2688391
1 1 1 116
2 1 0 160
3 1 0 193
4 1 0 240
5 1 0 263
6 1 1 411
7 1 0 228
8 1 1 404
9 1 0 260
10 1 0 486
11 1 0 520
12 1 1 964
13 1 1 569
14 1 1 615
15 1 0 570
16 1 1 855
17 1 1 1292
18 1 0 518
19 1 0 652
20 1 0 967
21 1 1 1630
22 1 1 1046
23 1 1 1995
24 1 1 1835
25 1 0 1141
26 1 1 966
27 1 0 1175
28 1 0 1230
29 1 0 710
30 1 1 1045
1 10 0 64
2 10 0 76
3 10 2 148
4 10 1 162
5 10 1 177
6 10 2 338
7 10 1 332
8 10 1 454
9 10 2 442
10 10 1 398
11 10 1 619
12 10 3 1964
13 10 2 2310
14 10 2 1139
15 10 2 4066
16 10 2 1735
17 10 3 3997
18 10 2 3126
19 10 3 5935
20 10 1 1992
21 10 3 2758
22 10 2 3338
23 10 3 7116
24 10 3 4551
25 10 4 13679
26 10 2 10000
27 10 6 35838
28 10 4 35151
29 10 7 49152
30 10 3 8983
1 20 0 73
2 20 1 160
3 20 1 184
4 20 1 123
5 20 2 367
6 20 2 743
7 20 1 738
8 20 2 551
9 20 3 958
10 20 3 1099
11 20 4 1434
12 20 3 3318
13 20 5 4512
14 20 2 2984
15 20 5 3449
16 20 4 3867
17 20 3 3840
18 20 3 4843
19 20 3 5870
20 20 2 5871
21 20 3 5971
22 20 4 22814
23 20 4 14283
24 20 3 5467
25 20 3 18037
26 20 6 67684
27 20 5 86766
28 20 7 77616
29 20 5 59659
30 20 5 26710
1 50 1 130
2 50 1 162
3 50 2 319
4 50 2 429
5 50 2 616
6 50 3 896
7 50 3 1901
8 50 5 1052
9 50 3 4625
10 50 4 4570
11 50 3 7746
12 50 6 10281
